"No.","Time","Source","Destination","Protocol","Length","Info"
"44242","194.119213890","SamsungE_6f:d4:29","Broadcast","802.11","277","Probe Request, SN=2940, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"45418","198.285300064","SamsungE_d9:1d:28","Broadcast","802.11","277","Probe Request, SN=629, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"45445","198.306872779","SamsungE_d9:1d:28","Broadcast","802.11","277","Probe Request, SN=631, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"46459","201.828894890","LiteonTe_98:49:ce","Broadcast","802.11","194","Probe Request, SN=256, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"46471","202.075737870","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=46, FN=0, Flags=........, SSID=Broadcast"
"46486","202.115863815","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=48, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"46912","203.719628170","HonHaiPr_d1:16:d9","Broadcast","802.11","264","Probe Request, SN=2823, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"47161","204.585495129","ChiconyE_33:8c:d0","Broadcast","802.11","194","Probe Request, SN=306, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"47299","205.077307737","Apple_96:8f:0d","Broadcast","802.11","235","Probe Request, SN=1820, FN=0, Flags=........, SSID=NUST"
"47637","208.060044977","Apple_96:8f:0d","Broadcast","802.11","235","Probe Request, SN=1823, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"47647","208.086912176","Apple_96:8f:0d","Broadcast","802.11","235","Probe Request, SN=1824, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"48165","210.078300955","Apple_96:8f:0d","Broadcast","802.11","235","Probe Request, SN=1827, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"48574","211.554024737","HuaweiTe_a3:24:b6","Broadcast","802.11","356","Probe Request, SN=3127, FN=0, Flags=........, SSID=Broadcast"
"48581","211.562994704","HuaweiTe_a3:24:b6","Broadcast","802.11","356","Probe Request, SN=3128, FN=0, Flags=........, SSID=Broadcast"
"48963","212.074137881","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=96, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"48978","212.093872093","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=97, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"49661","218.539235265","SamsungE_d9:1d:28","Broadcast","802.11","277","Probe Request, SN=648, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"49674","218.559358000","SamsungE_d9:1d:28","Broadcast","802.11","277","Probe Request, SN=650, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
