"No.","Time","Source","Destination","Protocol","Length","Info"
"14003","29.706689880","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2487, FN=0, Flags=........, SSID=NUST"
"14092","29.786763404","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2493, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"14101","29.796308300","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2494, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"15043","32.981052273","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3638, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"15066","33.002316647","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3639, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"15584","34.120377919","Consentr_c7:01:cc","Broadcast","802.11","194","Probe Request, SN=3330, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"15770","34.914246961","ChiconyE_33:8c:d0","Broadcast","802.11","190","Probe Request, SN=256, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"16200","35.779569228","Htc_7f:d1:60","Broadcast","802.11","278","Probe Request, SN=3301, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"16263","35.915530074","Htc_7f:d1:60","Broadcast","802.11","278","Probe Request, SN=3306, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"16330","35.962646334","SamsungE_43:1a:d6","Broadcast","802.11","194","Probe Request, SN=2022, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"16362","35.978123902","SamsungE_43:1a:d6","Broadcast","802.11","194","Probe Request, SN=2023, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"16976","37.245643178","HonHaiPr_e3:e6:87","Broadcast","802.11","259","Probe Request, SN=888, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"17012","37.274777147","HonHaiPr_e3:e6:87","Broadcast","802.11","259","Probe Request, SN=889, FN=0, Flags=........, SSID=Broadcast"
